action interval,button state,x,y
49,Move,1087,516
0,Move,1079,514
0,Move,1073,513
0,Move,1069,512
60,Move,1069,512
0,Move,1072,519
0,Move,1074,523
0,Move,1075,524
0,Move,1076,524
0,Move,1076,525
0,Move,1077,527
0,Move,1078,531
0,Move,1079,537
0,Move,1080,539
0,Move,1083,544
0,Move,1084,545
0,Move,1085,546
17,Move,1083,544
0,Move,1082,541
0,Move,1080,533
0,Move,1079,528
0,Move,1077,526
0,Move,1076,520
0,Move,1074,518
0,Move,1074,517
0,Move,1072,514
0,Move,1072,513
0,Move,1072,509
0,Move,1072,506
0,Move,1072,505
31,Move,1072,506
0,Move,1072,507
0,Move,1072,508
0,Move,1071,509
1,Move,1071,511
0,Move,1071,512
0,Move,1071,513
16,Move,1068,513
0,Move,1066,510
0,Move,1066,507
1,Move,1066,507
25,Move,1066,507
0,Move,1067,508
0,Move,1067,509
1,Move,1067,510
0,Move,1067,511
40,Scroll,1067,511
53,Scroll,1067,511
27,Scroll,1067,511
24,Scroll,1067,511
13,Scroll,1067,511
10,Scroll,1067,511
37,Scroll,1067,511
52,Scroll,1067,511
3,Move,1067,511
0,Move,1067,511
1,Move,1065,511
0,Move,1064,511
18,Scroll,1064,511
11,Scroll,1064,511
2,Scroll,1064,511
2,Scroll,1064,511
1,Scroll,1064,511
5,Move,1064,511
0,Move,1064,508
0,Move,1064,505
0,Move,1066,497
0,Move,1070,490
0,Move,1070,488
0,Move,1070,488
0,Move,1070,487
0,Move,1070,486
1,Move,1072,485
0,Move,1075,481
0,Move,1080,473
0,Move,1083,469
0,Move,1088,463
0,Move,1092,455
0,Move,1098,448
0,Move,1102,442
0,Move,1104,435
0,Move,1105,432
0,Move,1106,430
0,Move,1106,428
0,Move,1107,426
0,Move,1107,423
0,Move,1107,422
7,Move,1106,422
0,Move,1102,426
0,Move,1101,427
0,Scroll,1101,427
0,Move,1101,427
1,Move,1100,430
0,Move,1098,430
0,Scroll,1098,430
2,Scroll,1098,430
3,Move,1100,429
0,Move,1102,427
0,Move,1106,424
0,Move,1111,418
0,Move,1113,412
0,Move,1116,409
0,Move,1116,408
4,Right-Pressed,1116,408
6,Right-Released,1116,408
4,Move,1115,408
0,Move,1113,409
0,Move,1107,411
0,Move,1099,415
0,Move,1097,416
0,Move,1092,420
0,Move,1090,422
0,Move,1086,424
0,Move,1081,426
0,Move,1081,427
0,Move,1080,427
0,Move,1078,428
3,Move,1077,429
0,Move,1074,430
0,Move,1068,436
0,Move,1067,437
0,Move,1064,439
0,Move,1061,440
0,Move,1060,441
0,Move,1060,441
8,Left-Pressed,1060,441
5,Left-Released,1060,441
0,Move,1059,441
0,Move,1056,438
0,Move,1051,431
0,Move,1045,420
0,Move,1038,409
0,Move,1031,397
0,Move,1024,385
0,Move,1014,372
0,Move,1006,362
0,Move,999,349
0,Move,993,339
0,Move,986,329
0,Move,980,320
0,Move,975,313
0,Move,973,308
0,Move,970,304
4,Left-Pressed,970,304
1,Drag,971,305
0,Drag,975,306
0,Drag,979,307
0,Drag,981,309
0,Drag,982,310
0,Drag,984,311
0,Drag,985,311
0,Drag,987,312
12,Drag,987,315
0,Drag,987,320
0,Drag,987,323
0,Drag,987,326
0,Drag,987,329
0,Drag,987,330
0,Drag,987,331
12,Drag,987,331
1,Drag,984,331
0,Drag,982,331
0,Drag,979,330
1,Left-Released,979,330
13,Left-Pressed,979,330
5,Left-Released,979,330
11,Move,978,330
0,Move,975,329
0,Move,970,328
0,Move,967,327
0,Move,965,327
0,Move,961,326
0,Move,958,325
0,Move,955,325
0,Move,953,324
0,Move,949,324
0,Move,946,324
0,Move,940,323
1,Move,933,319
0,Move,930,319
0,Move,930,319
0,Move,927,318
0,Move,924,317
0,Move,924,317
0,Move,923,317
0,Move,922,317
0,Move,921,317
1,Move,919,317
1,Move,917,315
2,Left-Pressed,917,315
6,Left-Released,917,315
4,Move,917,315
0,Move,917,319
0,Move,923,328
0,Move,926,339
0,Move,931,351
0,Move,936,363
0,Move,942,378
0,Move,948,392
0,Move,958,410
0,Move,966,424
0,Move,976,438
0,Move,985,451
0,Move,998,462
0,Move,1010,470
0,Move,1026,477
0,Move,1043,482
0,Move,1064,486
0,Move,1090,490
0,Move,1132,494
0,Move,1173,496
0,Move,1232,498
0,Move,1286,498
0,Move,1343,498
